"","COUNTY","DATE","Population","cdc_multiplier","cdc_case_vacc_obs_imm_up","N","I","R","S"
"9011","Craven",2020-12-21,102491,0,18.0464626162297,102491,0,18496,83995
"9012","Craven",2020-12-22,102491,0,18.0464626162297,102491,0,18496,83995
"9013","Craven",2020-12-23,102491,0,18.0464626162297,102491,0,18496,83995
"9014","Craven",2020-12-24,102491,0,18.0464626162297,102491,0,18496,83995
"9015","Craven",2020-12-25,102491,0,18.0464626162297,102491,0,18496,83995
"9016","Craven",2020-12-26,102491,0,18.0464626162297,102491,0,18496,83995
"9017","Craven",2020-12-27,102491,1296,19.3109638895123,102491,1296,18496,82699
"9018","Craven",2020-12-28,102491,0,19.3109638895123,102491,0,19792,82699
"9019","Craven",2020-12-29,102491,0,19.3109638895123,102491,0,19792,82699
"9020","Craven",2020-12-30,102491,0,19.3541676830161,102491,0,19836.28,82654.72
"9021","Craven",2020-12-31,102491,0,19.3973714765199,102491,0,19880.56,82610.44
"9022","Craven",2021-01-01,102491,0,19.4444613255263,102491,0,19928.8228571452,82562.1771428548
"9023","Craven",2021-01-02,102491,0,19.4943269284575,102491,0,19979.9306122454,82511.0693877546
"9024","Craven",2021-01-03,102491,1940,21.4403725643225,102491,1940,20034.4522448998,80516.5477551002
"9025","Craven",2021-01-04,102491,0,21.4968999766811,102491,0,22032.3877551002,80458.6122448998
"9026","Craven",2021-01-05,102491,0,21.5567582937573,102491,0,22093.7371428548,80397.2628571452
"9027","Craven",2021-01-06,102491,0,21.6199475155512,102491,0,22158.5004081636,80332.4995918364
"9028","Craven",2021-01-07,102491,0,21.6864676420548,102491,0,22226.6775510184,80264.3224489816
"9029","Craven",2021-01-08,102491,0,21.7533621170101,102491,0,22295.2383673448,80195.7616326552
"9030","Craven",2021-01-09,102491,0,21.8206309404169,102491,0,22364.1828571427,80126.8171428573
"9031","Craven",2021-01-10,102491,2340,24.1714014112493,102491,2340,22433.5110204035,77717.4889795965
"9032","Craven",2021-01-11,102491,0,24.2394189315515,102491,0,24843.2228571365,77647.7771428635
"9033","Craven",2021-01-12,102491,0,24.3078108003049,102491,0,24913.3183673405,77577.6816326595
"9034","Craven",2021-01-13,102491,0,24.3765770175105,102491,0,24983.7975510167,77507.2024489833
"9035","Craven",2021-01-14,102491,0,24.4457175831592,102491,0,25054.6604081557,77436.3395918443
"9036","Craven",2021-01-15,102491,0,24.5243052699984,102491,0,25135.2057142741,77355.7942857259
"9037","Craven",2021-01-16,102491,0,24.6123400780042,102491,0,25225.4334693473,77265.5665306527
"9038","Craven",2021-01-17,102491,1928,26.5909627902857,102491,1928,25325.3436733917,75237.6563266083
"9039","Craven",2021-01-18,102491,0,26.6978918407365,102491,0,27362.9363264893,75128.0636735107
"9040","Craven",2021-01-19,102491,0,26.81426801237,102491,0,27482.2114285581,75008.7885714419
"9041","Craven",2021-01-20,102491,0,26.9400913051859,102491,0,27611.1689795981,74879.8310204019
"9042","Craven",2021-01-21,102491,0,27.0753617191844,102491,0,27749.8089796093,74741.1910203907
"9043","Craven",2021-01-22,102491,0,27.2219936086143,102491,0,27900.0934694049,74590.9065305951
"9044","Craven",2021-01-23,102491,0,27.3799869734756,102491,0,28062.0224489849,74428.9775510151
"9045","Craven",2021-01-24,102491,1772,29.2782741102626,102491,1772,28235.5959183493,72483.4040816507
"9046","Craven",2021-01-25,102491,0,29.4589904259868,102491,0,30192.8138774981,72298.1861225019
"9047","Craven",2021-01-26,102491,0,29.6510682172223,102491,0,30389.6763265133,72101.3236734867
"9048","Craven",2021-01-27,102491,0,29.854507483888,102491,0,30598.1832653117,71892.8167346883
"9049","Craven",2021-01-28,102491,0,30.0693082259852,102491,0,30818.3346938945,71672.6653061055
"9050","Craven",2021-01-29,102491,0,30.3112113975967,102491,0,31066.2636735109,71424.7363264891
"9051","Craven",2021-01-30,102491,0,30.5802169987239,102491,0,31341.9702041621,71149.0297958379
"9052","Craven",2021-01-31,102491,1456,32.2969375708744,102491,1456,31645.4542857649,69389.5457142351
