"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_up","N","I","R","S"
"20823","Macon",2021-09-26,34813,153.846153846154,88.9763009754002,34813,153.846153846154,30821.4735047199,3837.68034143391
"20824","Macon",2021-09-30,34813,0,88.9763009754002,34813,0,30975.3196585661,3837.68034143392
"20825","Macon",2021-10-03,34813,307.692307692308,89.8601441020837,34813,307.692307692308,30975.3196585661,3529.98803374161
"20826","Macon",2021-10-07,34813,0,89.8601441020837,34813,0,31283.0119662584,3529.9880337416
"20827","Macon",2021-10-10,34813,153.846153846154,90.3020656654254,34813,153.846153846154,31283.0119662584,3376.14187989545
"20828","Macon",2021-10-14,34813,0,90.3020656654254,34813,0,31436.8581201045,3376.14187989545
"20829","Macon",2021-10-17,34813,307.692307692308,91.1859087921089,34813,307.692307692308,31436.8581201045,3068.44957220315
"20830","Macon",2021-10-21,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20831","Macon",2021-10-24,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20832","Macon",2021-10-28,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20833","Macon",2021-10-31,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20834","Macon",2021-11-04,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20835","Macon",2021-11-07,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20836","Macon",2021-11-11,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20837","Macon",2021-11-14,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20838","Macon",2021-11-18,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20839","Macon",2021-11-21,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20840","Macon",2021-11-28,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20841","Macon",2021-12-05,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20842","Macon",2021-12-12,34813,0,91.1859087921089,34813,0,31744.5504277969,3068.44957220314
"20843","Madison",2020-03-29,21499,0,0,21499,0,0,21499
"20844","Madison",2020-04-02,21499,0,0,21499,0,0,21499
"20845","Madison",2020-04-19,21499,0,0,21499,0,0,21499
"20846","Madison",2020-04-23,21499,0,0,21499,0,0,21499
"20847","Madison",2020-04-26,21499,0,0,21499,0,0,21499
"20848","Madison",2020-05-03,21499,0,0,21499,0,0,21499
"20849","Madison",2020-05-07,21499,0,0,21499,0,0,21499
"20850","Madison",2020-05-17,21499,0,0,21499,0,0,21499
"20851","Madison",2020-05-21,21499,0,0,21499,0,0,21499
"20852","Madison",2020-05-24,21499,0,0,21499,0,0,21499
"20853","Madison",2020-05-28,21499,0,0,21499,0,0,21499
"20854","Madison",2020-05-31,21499,0,0,21499,0,0,21499
"20855","Madison",2020-06-04,21499,0,0,21499,0,0,21499
"20856","Madison",2020-06-07,21499,0,0,21499,0,0,21499
"20857","Madison",2020-06-11,21499,0,0,21499,0,0,21499
"20858","Madison",2020-06-14,21499,0,0,21499,0,0,21499
"20859","Madison",2020-06-18,21499,0,0,21499,0,0,21499
"20860","Madison",2020-06-21,21499,0,0,21499,0,0,21499
"20861","Madison",2020-06-25,21499,0,0,21499,0,0,21499
"20862","Madison",2020-06-28,21499,153.846153846154,0.715596789832801,21499,153.846153846154,-2.8421709430404e-14,21345.1538461538
"20863","Madison",2020-07-02,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20864","Madison",2020-07-05,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20865","Madison",2020-07-09,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20866","Madison",2020-07-12,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20867","Madison",2020-07-16,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20868","Madison",2020-07-19,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20869","Madison",2020-07-23,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20870","Madison",2020-07-26,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20871","Madison",2020-07-30,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20872","Madison",2020-08-02,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20873","Madison",2020-08-06,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20874","Madison",2020-08-09,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20875","Madison",2020-08-13,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20876","Madison",2020-08-16,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20877","Madison",2020-08-20,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20878","Madison",2020-08-23,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20879","Madison",2020-08-27,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20880","Madison",2020-08-30,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20881","Madison",2020-09-03,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20882","Madison",2020-09-06,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20883","Madison",2020-09-10,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20884","Madison",2020-09-13,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20885","Madison",2020-09-17,21499,0,0.715596789832801,21499,0,153.846153846154,21345.1538461538
"20886","Madison",2020-09-20,21499,153.846153846154,1.4311935796656,21499,153.846153846154,153.846153846154,21191.3076923077
"20887","Madison",2020-09-24,21499,0,1.4311935796656,21499,0,307.692307692308,21191.3076923077
"20888","Madison",2020-09-27,21499,0,1.4311935796656,21499,0,307.692307692308,21191.3076923077
"20889","Madison",2020-10-01,21499,1538.46153846154,8.58716147799361,21499,1538.46153846154,307.692307692307,19652.8461538462
"20890","Madison",2020-10-04,21499,0,8.58716147799361,21499,0,1846.15384615385,19652.8461538462
"20891","Madison",2020-10-08,21499,923.076923076923,12.8807422169904,21499,923.076923076923,1846.15384615385,18729.7692307692
"20892","Madison",2020-10-11,21499,0,12.8807422169904,21499,0,2769.23076923077,18729.7692307692
"20893","Madison",2020-10-15,21499,0,12.8807422169904,21499,0,2769.23076923077,18729.7692307692
"20894","Madison",2020-10-18,21499,0,12.8807422169904,21499,0,2769.23076923077,18729.7692307692
"20895","Madison",2020-10-22,21499,0,12.8807422169904,21499,0,2769.23076923077,18729.7692307692
"20896","Madison",2020-10-25,21499,0,12.8807422169904,21499,0,2769.23076923077,18729.7692307692
"20897","Madison",2020-10-29,21499,0,12.8807422169904,21499,0,2769.23076923077,18729.7692307692
"20898","Madison",2020-11-01,21499,153.846153846154,13.5963390068232,21499,153.846153846154,2769.23076923077,18575.9230769231
"20899","Madison",2020-11-05,21499,0,13.5963390068232,21499,0,2923.07692307692,18575.9230769231
"20900","Madison",2020-11-08,21499,0,13.5963390068232,21499,0,2923.07692307692,18575.9230769231
"20901","Madison",2020-11-12,21499,0,13.5963390068232,21499,0,2923.07692307692,18575.9230769231
"20902","Madison",2020-11-15,21499,307.692307692308,15.0275325864888,21499,307.692307692308,2923.07692307692,18268.2307692308
"20903","Madison",2020-11-19,21499,0,15.0275325864888,21499,0,3230.76923076923,18268.2307692308
"20904","Madison",2020-11-22,21499,0,15.0275325864888,21499,0,3230.76923076923,18268.2307692308
"20905","Madison",2020-11-26,21499,0,15.0275325864888,21499,0,3230.76923076923,18268.2307692308
"20906","Madison",2020-11-29,21499,0,15.0275325864888,21499,0,3230.76923076923,18268.2307692308
"20907","Madison",2020-12-03,21499,0,15.0275325864888,21499,0,3230.76923076923,18268.2307692308
"20908","Madison",2020-12-06,21499,0,15.0275325864888,21499,0,3230.76923076923,18268.2307692308
"20909","Madison",2020-12-10,21499,1384.61538461538,21.467903694984,21499,1384.61538461538,3230.76923076923,16883.6153846154
"20910","Madison",2020-12-13,21499,0,21.467903694984,21499,0,4615.38461538462,16883.6153846154
"20911","Madison",2020-12-16,21499,0,21.467903694984,21499,0,4615.38461538462,16883.6153846154
"20912","Madison",2020-12-17,21499,923.076923076923,25.7614844339808,21499,923.076923076923,4615.38461538462,15960.5384615385
"20913","Madison",2020-12-18,21499,0,25.7614844339808,21499,0,5538.46153846154,15960.5384615385
"20914","Madison",2020-12-19,21499,0,25.7614844339808,21499,0,5538.46153846154,15960.5384615385
"20915","Madison",2020-12-20,21499,0,25.7614844339808,21499,0,5538.46153846154,15960.5384615385
"20916","Madison",2020-12-21,21499,0,25.7614844339808,21499,0,5538.46153846154,15960.5384615385
"20917","Madison",2020-12-22,21499,0,25.7614844339808,21499,0,5538.46153846154,15960.5384615385
"20918","Madison",2020-12-23,21499,0,25.7614844339808,21499,0,5538.46153846154,15960.5384615385
"20919","Madison",2020-12-24,21499,461.538461538462,27.9082748034792,21499,461.538461538462,5538.46153846154,15499
"20920","Madison",2020-12-25,21499,0,27.9082748034792,21499,0,6000,15499
"20921","Madison",2020-12-26,21499,0,27.9082748034792,21499,0,6000,15499
"20922","Madison",2020-12-27,21499,0,27.9082748034792,21499,0,6000,15499
"20923","Madison",2020-12-28,21499,0,27.9082748034792,21499,0,6000,15499
"20924","Madison",2020-12-29,21499,0,27.9082748034792,21499,0,6000,15499
"20925","Madison",2020-12-30,21499,0,27.932685241174,21499,0,6005.248,15493.752
"20926","Madison",2020-12-31,21499,0,27.9570956788688,21499,0,6010.496,15488.504
"20927","Madison",2021-01-01,21499,0,27.9811610285325,21499,0,6015.6698095242,15483.3301904758
"20928","Madison",2021-01-02,21499,0,28.0049798867416,21499,0,6020.79062585058,15478.2093741494
"20929","Madison",2021-01-03,21499,153.846153846154,28.7440997450426,21499,153.846153846154,6025.84785034056,15319.3059958133
"20930","Madison",2021-01-04,21499,0,28.7673270237661,21499,0,6184.68763683947,15314.3123631605
"20931","Madison",2021-01-05,21499,0,28.7902585127487,21499,0,6189.61767765583,15309.3823223442
"20932","Madison",2021-01-06,21499,0,28.8128942119903,21499,0,6194.4841266358,15304.5158733642
"20933","Madison",2021-01-07,21499,0,28.8352341214872,21499,0,6199.28698377854,15299.7130162215
"20934","Madison",2021-01-08,21499,0,28.8735633840721,21499,0,6207.52739194165,15291.4726080583
"20935","Madison",2021-01-09,21499,0,28.9278819997335,21499,0,6219.20535112269,15279.7946488773
"20936","Madison",2021-01-10,21499,0,28.9981899685089,21499,0,6234.32086132973,15264.6791386703
"20937","Madison",2021-01-11,21499,0,29.0844872903609,21499,0,6252.87392255469,15246.1260774453
"20938","Madison",2021-01-12,21499,0,29.1867739652894,21499,0,6274.86453479757,15224.1354652024
"20939","Madison",2021-01-13,21499,0,29.3050499933326,21499,0,6300.29269806658,15198.7073019334
"20940","Madison",2021-01-14,21499,0,29.4393153744523,21499,0,6329.15841235349,15169.8415876465
"20941","Madison",2021-01-15,21499,0,29.5772942648029,21499,0,6358.82249398998,15140.17750601
"20942","Madison",2021-01-16,21499,0,29.7189866643469,21499,0,6389.28494296794,15109.7150570321
"20943","Madison",2021-01-17,21499,0,29.8643925731218,21499,0,6420.54575929545,15078.4542407045
"20944","Madison",2021-01-18,21499,0,30.0135119911282,21499,0,6452.60494297265,15046.3950570273
"20945","Madison",2021-01-19,21499,0,30.1663449183274,21499,0,6485.46249399121,15013.5375060088
"20946","Madison",2021-01-20,21499,0,30.3228913547581,21499,0,6519.11841235945,14979.8815876405
"20947","Madison",2021-01-21,21499,0,30.4831513004198,21499,0,6553.57269807725,14945.4273019227
"20948","Madison",2021-01-22,21499,0,30.6674617239783,21499,0,6593.1975960381,14905.8024039619
"20949","Madison",2021-01-23,21499,0,30.8758226254336,21499,0,6637.99310624197,14861.006893758
"20950","Madison",2021-01-24,21499,0,31.1082340047858,21499,0,6687.95922868889,14811.0407713111
"20951","Madison",2021-01-25,21499,0,31.3646958620353,21499,0,6743.09596337898,14755.904036621
"20952","Madison",2021-01-26,21499,0,31.6452081972199,21499,0,6803.4033103203,14695.5966896797
"20953","Madison",2021-01-27,21499,0,31.9497710103012,21499,0,6868.88126950465,14630.1187304953
"20954","Madison",2021-01-28,21499,0,32.2783843012794,21499,0,6939.52984093205,14559.4701590679
"20955","Madison",2021-01-29,21499,0,32.620678342477,21499,0,7013.11963684913,14485.8803631509
"20956","Madison",2021-01-30,21499,0,32.9766531338952,21499,0,7089.65065725613,14409.3493427439
"20957","Madison",2021-01-31,21499,0,33.3463086755334,21499,0,7169.12290215294,14329.8770978471
"20958","Madison",2021-02-01,21499,0,33.7296449673861,21499,0,7251.53637153834,14247.4636284617
