"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_lower","N","I","R","S"
"23305","Moore",2021-05-12,97294,0,41.8148990859507,97294,0,40683.3879166849,56610.6120833151
"23306","Moore",2021-05-13,97294,0,41.9487373301292,97294,0,40813.6044979759,56480.3955020241
"23307","Moore",2021-05-14,97294,0,42.0771629935082,97294,0,40938.5549629039,56355.4450370961
"23308","Moore",2021-05-15,97294,0,42.2001760761916,97294,0,41058.2393115699,56235.7606884301
"23309","Moore",2021-05-16,97294,0,42.3177765781671,97294,0,41172.6575439619,56121.3424560381
"23310","Moore",2021-05-17,97294,0,42.4299644994397,97294,0,41281.8096600849,56012.1903399151
"23311","Moore",2021-05-18,97294,0,42.536739839996,97294,0,41385.6956599257,55908.3043400743
"23312","Moore",2021-05-19,97294,0,42.6381025998274,97294,0,41484.315543476,55809.684456524
"23313","Moore",2021-05-20,97294,0,42.7340527789476,97294,0,41577.6693107493,55716.3306892507
"23314","Moore",2021-05-21,97294,0,42.8338571722084,97294,0,41674.7729971285,55619.2270028715
"23315","Moore",2021-05-22,97294,0,42.9375157796183,97294,0,41775.6266026219,55518.3733973781
"23316","Moore",2021-05-23,97294,0,43.0450286011773,97294,0,41880.2301272294,55413.7698727706
"23317","Moore",2021-05-24,97294,0,43.156395636901,97294,0,41988.5835709665,55305.4164290335
"23318","Moore",2021-05-25,97294,0,43.2716168867196,97294,0,42100.686933765,55193.313066235
"23319","Moore",2021-05-26,97294,0,43.3906923507217,97294,0,42216.5402157112,55077.4597842888
"23320","Moore",2021-05-27,97294,0,43.5136220289066,97294,0,42336.1434168044,54957.8565831956
"23321","Moore",2021-05-28,97294,0,43.6371764441932,97294,0,42456.3544496134,54837.6455503866
"23322","Moore",2021-05-29,97294,0,43.7613555966659,97294,0,42577.1733142202,54716.8266857798
"23323","Moore",2021-05-30,97294,153.846153846154,43.8861594862397,97294,153.846153846154,42544.7538566959,54595.3999894579
"23324","Moore",2021-05-31,97294,0,44.0115881129995,97294,0,42820.6345386618,54473.3654613382
"23325","Moore",2021-06-01,97294,0,44.1376414768616,97294,0,42943.2768984978,54350.7231015022
